Rank,Pays,Or,Argent,Bronze,Total
1,Etats-Unis,40,44,42,126
2,Chine,40,27,24,91
3,Japon,20,12,13,45
4,Australie,18,19,16,53
5,France,16,26,22,64
6,Pays-Bas,15,7,12,34
7,Grande-Bretagne,14,22,29,65
8,"Corée du Sud",13,9,10,32
9,Italie,12,13,15,40
10,Allemagne,12,13,8,33
11,Nouvelle-Zélande,10,7,3,20
12,Canada,9,7,11,27
13,Ouzbékistan,8,2,3,13
14,Hongrie,6,7,6,19
15,Espagne,5,4,9,18
16,Suède,4,4,3,11
17,Kenya,4,2,5,11
18,Norvège,4,1,3,8
19,Irlande,4,0,3,7
20,Brésil,3,7,10,20
21,Iran,3,6,3,12
22,Ukraine,3,5,4,12
23,Roumanie,3,4,2,9
24,Géorgie,3,3,1,7
25,Belgique,3,1,6,10
26,Bulgarie,3,1,3,7
27,Serbie,3,1,1,5
28,"Rép. Tchèque",3,0,2,5
29,Danemark,2,2,5,9
30,Azerbaïdjan,2,2,3,7
-,Croatie,2,2,3,7
32,Cuba,2,1,6,9
33,Bahrein,2,1,1,4
34,Slovénie,2,1,0,3
35,Taiwan,2,0,5,7
36,Autriche,2,0,3,5
37,Hong-Kong,2,0,2,4
-,Philippines,2,0,2,4
39,Algérie,2,0,1,3
-,Indonésie,2,0,1,3
41,Israël,1,5,1,7
42,Pologne,1,4,5,10
43,Kazakhstan,1,3,3,7
44,"Afrique du Sud",1,3,2,6
-,Jamaïque,1,3,2,6
-,Thaïlande,1,3,2,6
47,Ethiopie,1,3,0,4
48,Suisse,1,2,5,8
49,Equateur,1,2,2,5
50,Portugal,1,2,1,4
51,Grèce,1,1,6,8
52,Argentine,1,1,1,3
-,Egypte,1,1,1,3
-,Tunisie,1,1,1,3
55,Botswana,1,1,0,2
-,Chili,1,1,0,2
-,Ouganda,1,1,0,2
-,Sainte-Lucie,1,1,0,2
59,"Rép. Dominicaine",1,0,2,3
60,Guatemala,1,0,1,2
-,Maroc,1,0,1,2
62,Dominique,1,0,0,1
-,Pakistan,1,0,0,1
64,Turquie,0,3,5,8
65,Mexique,0,3,2,5
66,Arménie,0,3,1,4
-,Colombie,0,3,1,4
68,"Corée du Nord",0,2,4,6
-,Kirghizistan,0,2,4,6
70,Lituanie,0,2,2,4
71,Inde,0,1,5,6
72,Moldavie,0,1,3,4
73,Kosovo,0,1,1,2
74,Chypre,0,1,0,1
-,Fidji,0,1,0,1
-,Jordanie,0,1,0,1
-,Mongolie,0,1,0,1
-,Panama,0,1,0,1
79,Tadjikistan,0,0,3,3
80,Albanie,0,0,2,2
-,Grenade,0,0,2,2
-,Malaisie,0,0,2,2
-,Porto-Rico,0,0,2,2
84,"Cap Vert",0,0,1,1
-,"Côte d'Ivoire",0,0,1,1
-,"Equipe olympique des réfugiés",0,0,1,1
-,Pérou,0,0,1,1
-,Qatar,0,0,1,1
-,Singapour,0,0,1,1
-,Slovaquie,0,0,1,1
-,Zambie,0,0,1,1
